Human milk	"Milk, human, mature, fluid"
"Milk, reduced fat"	"Milk, whole, 3.25% milkfat, with added vitamin D"
"Milk, reduced fat"	"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D"
"Milk, reduced fat"	"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D"
"Milk, reduced fat"	"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)"
"Milk, whole"	"Milk, whole, 3.25% milkfat, with added vitamin D"
"Milk, whole"	"Milk, low sodium, fluid"
"Milk, whole"	"Milk, whole, 3.25% milkfat, with added vitamin D"
"Milk, lowfat"	"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D"
"Milk, nonfat"	"Milk, fluid, nonfat, calcium fortified (fat free or skim)"
"Milk, reduced fat"	"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D"
"Milk, lowfat"	"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D"
"Milk, reduced fat"	"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D"
"Milk, lowfat"	"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D"
"Milk, nonfat"	"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)"
"Milk, lowfat"	"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D"
"Milk, nonfat"	"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)"
"Milk, reduced fat"	"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D"
"Milk, whole"	"Milk, whole, 3.25% milkfat, with added vitamin D"
"Milk, nonfat"	"Milk, buttermilk, fluid, cultured, lowfat"
"Milk, lowfat"	"Milk, buttermilk, fluid, cultured, lowfat"
"Milk, reduced fat"	"Milk, buttermilk, fluid, cultured, reduced fat"
"Milk, whole"	"Milk, buttermilk, fluid, whole"
"Milk, lowfat"	"Kefir, lowfat, plain, LIFEWAY"
"Milk, lowfat"	"Kefir, lowfat, strawberry, LIFEWAY"
"Milk, whole"	"Milk, goat, fluid, with added vitamin D"
"Milk, nonfat"	"Milk, dry, nonfat, instant, with added vitamin A and vitamin D"
"Milk, nonfat"	"Water, tap, drinking"
"Milk, whole"	"Milk, dry, whole, with added vitamin D"
"Milk, whole"	"Water, tap, drinking"
"Milk, lowfat"	"Milk, dry, nonfat, instant, with added vitamin A and vitamin D"
"Milk, lowfat"	"Water, tap, drinking"
"Milk, lowfat"	"Butter oil, anhydrous"
"Milk, nonfat"	"Milk, dry, nonfat, instant, with added vitamin A and vitamin D"
"Milk, nonfat"	"Water, tap, drinking"
"Milk, whole"	"Milk, canned, evaporated, with added vitamin D and without added vitamin A"
"Milk, whole"	"Milk, canned, evaporated, with added vitamin D and without added vitamin A"
"Milk, reduced fat"	"Milk, canned, evaporated, nonfat, with added vitamin A and vitamin D"
"Milk, reduced fat"	"Butter oil, anhydrous"
"Milk, nonfat"	"Milk, canned, evaporated, nonfat, with added vitamin A and vitamin D"
"Flavored milk, whole"	"Milk, canned, condensed, sweetened"
Milk substitutes	"Beverages, almond milk, sweetened, vanilla flavor, ready-to-drink"
Milk substitutes	"Beverages, almond milk, unsweetened, shelf stable"
Milk substitutes	"Soymilk, original and vanilla, with added calcium, vitamins A and D"
Milk substitutes	"Beverages, coconut milk, sweetened, fortified with calcium, vitamins A, B12, D2"
Milk substitutes	"Soymilk, original and vanilla, with added calcium, vitamins A and D"
Milk substitutes	"Soymilk, original and vanilla, light, with added calcium, vitamins A and D"
Milk substitutes	"Soymilk (all flavors), nonfat, with added calcium, vitamins A and D"
Milk substitutes	"Soymilk, chocolate, with added calcium, vitamins A and D"
Milk substitutes	"Soymilk, chocolate and other flavors, light, with added calcium, vitamins A and D"
Milk substitutes	"Soymilk, chocolate and other flavors, light, with added calcium, vitamins A and D"
Milk substitutes	"Milk, imitation, non-soy"
Milk substitutes	"Beverages, almond milk, sweetened, vanilla flavor, ready-to-drink"
Milk substitutes	"Beverages, almond milk, chocolate, ready-to-drink"
Milk substitutes	"Beverages, almond milk, unsweetened, shelf stable"
Milk substitutes	"Beverages, Chocolate Almond milk, unsweetened, shelf-stable, fortified with vitamin D2 and E"
Milk substitutes	"Beverages, rice milk, unsweetened"
Milk substitutes	"Beverages, coconut milk, sweetened, fortified with calcium, vitamins A, B12, D2"
"Yogurt, regular"	"Yogurt, plain, low fat, 12 grams protein per 8 ounce"
"Yogurt, regular"	Vitamin D as ingredient
